name,weighted_pv
山下美月,68103.02613510894
山中崇,37152.51185250703
山之内すず,23129.940365202903
山口まゆ_(女優),9865.826761854521
山口もえ,29970.250116922318
山口智充,26332.82698222217
山口智子,22447.619749594818
山口紗弥加,17986.060686537232
山崎弘也,16347.322620525505
山崎紘菜,105451.21951454309
山崎育三郎,42583.88803966648
山崎静代,25659.412454044385
山本美月,63520.994282236665
山本耕史,114494.82645979602
山本舞香,74386.08331575953
山田優_(モデル),33945.946966403884
山田孝之,47384.33964065044
山田杏奈,58803.13328602311
山田涼介,81872.61302704031
山田真歩,8759.151571028602
山田裕貴,163276.5391077488
山里亮太,41422.37084650728
山﨑賢人,104138.89245410946
岡副麻希,16164.547215798546
岡山天音,27656.03344582477
岡崎紗絵,66817.57882277039
岡本夏美,10569.538596413548
岡本玲,16515.98717100228
岡村隆史,37696.865955657144
岡田准一,81099.73286626527
岡田圭右,19407.38566432116
岡田将生,61845.89318799809
岡田結実,24330.23253923724
岩田剛典,52511.499032495216
岸井ゆきの,126456.99133408326
岸優太,83739.5832659238
岸本加世子,11846.01600108657
岸谷五朗,21475.632737720163
岸部一徳,39521.215719909094
峰竜太,11603.703718716702
島崎和歌子,35597.75864120428
島崎遥香,31256.620383788613
川口春奈,187276.77862471776
川島明,48798.437729955
川島海荷,40197.56154997564
川平慈英,33405.87922909067
川栄李奈,58874.65620174769
川津明日香,18667.613243071395
工藤美桜,49327.78382115376
工藤阿須加,42748.46273545243
市原隼人,52561.63646575151
市川実日子,32113.20618649174
市川猿之助_(4代目),48881.793139489055
市川紗椰,32374.128899194486
市村正親,36099.84199248735
市毛良枝,10723.601722993904
常盤貴子,57745.57553854752
平子理沙,19544.88961258107
平山浩行,11673.05940969152
平岡祐太,25224.456795710845
平岩紙,13728.319053210971
平手友梨奈,107639.28307542115
平泉成,13097.06972230119
平祐奈,50711.156125739966
平野紫耀,237246.09975407028
広末涼子,54650.158566980026
広瀬すず,106499.425059095
広瀬アリス,61053.314164812466
役所広司,26389.456569155394
後藤輝基,14570.31168039567
徳永えり,31183.317505144474
志尊淳,25840.67924566305
志田彩良,26744.608723586025
志田未来,58680.81913308299
恒松祐里,55446.610457641356
恵俊彰,20130.92788378655
成海璃子,23207.228905722226
成田凌,26062.30819216773
戸塚純貴,25725.88480442239
戸次重幸,45442.426456707595
戸田恵子,66810.27779217239
戸田恵梨香,112400.50395306654
戸田菜穂,33615.18804560254
所ジョージ,33049.400074068275
押切もえ,16364.252274777782
指原莉乃,41144.6923214799
斉藤由貴,45776.8773142906
斎藤工,37562.57033658354
新井恵理那,85099.00048958053
新垣結衣,86223.55157274829
新川優愛,56564.53293031602
新木優子,81473.06314440345
新田真剣佑,116336.51992231823
日村勇紀,54758.503740792556
早見あかり,49202.05179048073
明石家さんま,69373.39951357254
星野源,70944.22708963281
春日俊彰,30380.44664030946
春風亭昇太,31012.87273391334
有吉弘行,66804.15801145899
有岡大貴,23256.997584083743
有村架純,123920.8027218013
有田哲平,31597.750846236177
望月歩,30996.275601629986
朝日奈央,67693.40185326339
朝比奈彩,43164.79170401975
木南晴夏,88035.84691682523
木村カエラ,27202.267801944705
木村佳乃,47280.43975050038
木村多江,37732.589749470826
木村拓哉,167059.99308936403
木村文乃,114073.04636509069
木村昴,106488.8606030739
木梨憲武,26394.62166850335
本上まなみ,19317.94790419053
本仮屋ユイカ,65243.78911364291
本木雅弘,26404.1124396432
本田望結,63990.278764246075
本田翼,63859.7005737254
本郷奏多,30555.77504626075
杉咲花,51569.102481791175
杉本哲太,18988.04575500126
杉本彩,11719.375856997256
杉浦太陽,21054.33474454575
杉野遥亮,117640.3026423956
杏_(女優),111504.66401651992
村上佳菜子,9010.073309421963
村上信五,18701.73406531791
村上知子,8210.259282322048
