publisher,news_count,score_sum,score_mean,burst_news_count,burst_score_sum,burst_pv_sum,burst_days
KBC九州朝日放送,6,1,0.16666666666666666,0.0,0.0,0.0,0.0
KBS World,1,0,0.0,0.0,0.0,0.0,0.0
KBS京都,2,0,0.0,0.0,0.0,0.0,0.0
KING GEAR,1,3,3.0,1.0,3.0,27213.0,1.0
KKT熊本県民テレビ,1,3,3.0,0.0,0.0,0.0,0.0
KONAMI GROUP CORPORATION,1,2,2.0,0.0,0.0,0.0,0.0
KOZOクリエイターズ,2,-1,-0.5,0.0,0.0,0.0,0.0
KPOP monster,13,17,1.3076923076923077,0.0,0.0,0.0,0.0
KSBニュース,9,10,1.1111111111111112,0.0,0.0,0.0,0.0
KSB瀬戸内海放送,1,1,1.0,0.0,0.0,0.0,0.0
Kindai Picks,1,2,2.0,0.0,0.0,0.0,0.0
Kiss PRESS(キッスプレス),3,5,1.6666666666666667,0.0,0.0,0.0,0.0
Komachi Web,2,5,2.5,0.0,0.0,0.0,0.0
Konica Minolta,1,2,2.0,0.0,0.0,0.0,0.0
Kstyle,83,86,1.036144578313253,8.0,16.0,38228.0,6.0
LASISA,11,23,2.090909090909091,0.0,0.0,0.0,0.0
LAWSON,2,2,1.0,0.0,0.0,0.0,0.0
LIFULL STORIES,4,5,1.25,0.0,0.0,0.0,0.0
LIGARE（リガーレ）,1,-1,-1.0,0.0,0.0,0.0,0.0
LIMO | くらしとお金の経済メディア,3,2,0.6666666666666666,0.0,0.0,0.0,0.0
LINE NEWS,188,45,0.2393617021276596,21.0,13.0,476359.0,19.0
LIVE VIEWING JAPAN,1,0,0.0,0.0,0.0,0.0,0.0
LIVERARY,7,5,0.7142857142857143,1.0,3.0,48999.0,1.0
LOG OITA,2,4,2.0,0.0,0.0,0.0,0.0
LOOK 静岡朝日テレビ,2,2,1.0,0.0,0.0,0.0,0.0
Leaf KYOTO,22,11,0.5,1.0,2.0,3628.0,1.0
Ledger,1,0,0.0,0.0,0.0,0.0,0.0
Letem světem Applem,1,0,0.0,0.0,0.0,0.0,0.0
Lmaga.jp,429,372,0.8671328671328671,72.0,74.0,1218313.0,56.0
M.LEAGUE,1,2,2.0,0.0,0.0,0.0,0.0
MANTAN WEB,4496,3822,0.8500889679715302,1006.0,1195.0,10095212.0,201.0
MAQUIA ONLINE,131,215,1.6412213740458015,11.0,16.0,79670.0,10.0
MAiDiGiTV,141,114,0.8085106382978723,11.0,12.0,143399.0,11.0
MBS 毎日放送,146,115,0.7876712328767124,14.0,16.0,97098.0,10.0
MEN'S NON-NO WEB,276,381,1.3804347826086956,23.0,33.0,240924.0,21.0
MENT RECORDING,1,2,2.0,0.0,0.0,0.0,0.0
MLB Japan,1,1,1.0,0.0,0.0,0.0,0.0
MMAPLANET,4,4,1.0,1.0,1.0,3992.0,1.0
MOTA,2,4,2.0,0.0,0.0,0.0,0.0
MOVIE WALKER PRESS,755,1016,1.3456953642384106,101.0,128.0,1200259.0,65.0
MUSIC LIFE CLUB,8,3,0.375,0.0,0.0,0.0,0.0
MarkeZine,1,1,1.0,0.0,0.0,0.0,0.0
Mastered,2,2,1.0,0.0,0.0,0.0,0.0
Merkmal,5,0,0.0,0.0,0.0,0.0,0.0
Middle Edge,172,-64,-0.37209302325581395,9.0,-3.0,22751.0,9.0
Mikiki by TOWER RECORDS,69,-18,-0.2608695652173913,5.0,3.0,51848.0,5.0
"Mitsubishi Heavy Industries, Ltd.",1,2,2.0,2.0,4.0,21394.0,2.0
Mogura VR,8,8,1.0,0.0,0.0,0.0,0.0
Monthly Puroresu,1,-1,-1.0,0.0,0.0,0.0,0.0
More CADENCE,8,-6,-0.75,0.0,0.0,0.0,0.0
MusicVoice,500,391,0.782,66.0,65.0,520903.0,49.0
Myハワイ歩き方,1,0,0.0,0.0,0.0,0.0,0.0
M＆A Online,5,5,1.0,2.0,5.0,23988.0,2.0
"NAKED, INC. | 株式会社ネイキッド",1,0,0.0,0.0,0.0,0.0,0.0
NB Press Online,170,199,1.1705882352941177,19.0,22.0,137899.0,17.0
NBA Rakuten,1,2,2.0,0.0,0.0,0.0,0.0
NBC長崎放送,4,0,0.0,0.0,0.0,0.0,0.0
NEWSつくば,1,-1,-1.0,0.0,0.0,0.0,0.0
NEWSポストセブン,976,122,0.125,133.0,-2.0,2361882.0,81.0
NEXCO 東日本,1,2,2.0,0.0,0.0,0.0,0.0
NHK,178,158,0.8876404494382022,47.0,65.0,905240.0,37.0
NHK出版デジタルマガジン,11,10,0.9090909090909091,2.0,3.0,5912.0,2.0
NIHONMONO,1,1,1.0,0.0,0.0,0.0,0.0
NIKKEIリスキリング,3,4,1.3333333333333333,0.0,0.0,0.0,0.0
NME Japan,6,5,0.8333333333333334,1.0,-1.0,1487.0,1.0
NTT,1,0,0.0,0.0,0.0,0.0,0.0
NTT Data,1,0,0.0,0.0,0.0,0.0,0.0
NTTコミュニケーションズ,1,1,1.0,0.0,0.0,0.0,0.0
NTTソルマーレ株式会社,3,2,0.6666666666666666,1.0,1.0,3748.0,1.0
NYLON JAPAN,34,50,1.4705882352941178,5.0,7.0,31704.0,5.0
New's vision,35,-62,-1.7714285714285714,0.0,0.0,0.0,0.0
NewsTV,5,4,0.8,0.0,0.0,0.0,0.0
Newsroom | TikTok,1,2,2.0,0.0,0.0,0.0,0.0
Next Funds,1,1,1.0,0.0,0.0,0.0,0.0
Nileport,1,2,2.0,0.0,0.0,0.0,0.0
Nintendo DREAM WEB,3,-1,-0.3333333333333333,0.0,0.0,0.0,0.0
Number Web,162,80,0.49382716049382713,12.0,7.0,34199.0,7.0
Numero TOKYO,48,85,1.7708333333333333,5.0,9.0,38953.0,4.0
OCEANS オーシャンズ,26,24,0.9230769230769231,2.0,2.0,12248.0,2.0
OHK 岡山放送,2,4,2.0,0.0,0.0,0.0,0.0
OK! JAPAN,1,-1,-1.0,0.0,0.0,0.0,0.0
OMOHARAREAL,1,1,1.0,0.0,0.0,0.0,0.0
OPPOラボ,1,-1,-1.0,0.0,0.0,0.0,0.0
OREFOLDER,1,0,0.0,0.0,0.0,0.0,0.0
ORICON,6077,7555,1.2432121112390981,1304.0,1687.0,11400235.0,207.0
OTONA SALONE,1,0,0.0,0.0,0.0,0.0,0.0
OTOTOY,83,95,1.144578313253012,11.0,11.0,90421.0,10.0
OTV 沖縄テレビ放送,16,3,0.1875,0.0,0.0,0.0,0.0
Olympics.com,17,22,1.2941176470588236,3.0,3.0,27654.0,3.0
One Point Zero Two｜1.02,1,-1,-1.0,0.0,0.0,0.0,0.0
Oui Speak Fashion,1,2,2.0,0.0,0.0,0.0,0.0
PARCO STAGE,1,1,1.0,1.0,1.0,37768.0,1.0
PASH! PLUS,11,26,2.3636363636363638,2.0,6.0,12890.0,2.0
PC Watch,2,1,0.5,0.0,0.0,0.0,0.0
PHILE WEB,33,66,2.0,3.0,13.0,81177.0,3.0
PHPオンライン,1,2,2.0,0.0,0.0,0.0,0.0
PINTSCOPE,22,14,0.6363636363636364,1.0,0.0,5678.0,1.0
PONY CANYON NEWS,28,24,0.8571428571428571,3.0,6.0,34724.0,3.0
PR EDGE,20,16,0.8,0.0,0.0,0.0,0.0
PR TIMES,3387,3465,1.0230292294065544,236.0,268.0,1595493.0,122.0
PRESIDENT Online（プレジデントオンライン）,45,-27,-0.6,7.0,-5.0,60041.0,7.0
PRO-WRESTLING NOAH OFFICIAL SITE,1,-1,-1.0,0.0,0.0,0.0,0.0
PUNKLOID,1,0,0.0,0.0,0.0,0.0,0.0
Paddock GP,1,0,0.0,0.0,0.0,0.0,0.0
Pen Online,72,85,1.1805555555555556,5.0,4.0,32652.0,5.0
Pinterest Newsroom,2,4,2.0,1.0,2.0,4262.0,1.0
PlayStation.Blog 日本語,2,0,0.0,0.0,0.0,0.0,0.0
Pokemon Go,3,5,1.6666666666666667,0.0,0.0,0.0,0.0
Pop'n'Roll,94,123,1.3085106382978724,7.0,12.0,33076.0,7.0
Pouch［ポーチ］,87,97,1.1149425287356323,9.0,8.0,247653.0,7.0
Precious.jp,77,105,1.3636363636363635,4.0,4.0,80858.0,4.0
PrettyOnline,3,5,1.6666666666666667,0.0,0.0,0.0,0.0
QAB 琉球朝日放送,3,2,0.6666666666666666,0.0,0.0,0.0,0.0
QJWeb クイック・ジャパン ウェブ,166,130,0.7831325301204819,12.0,6.0,43294.0,10.0
Qetic,50,68,1.36,5.0,13.0,34679.0,5.0
Qobuz,1,2,2.0,0.0,0.0,0.0,0.0
Qoly,3,-1,-0.3333333333333333,3.0,1.0,24271.0,3.0
QueerPlusUp,7,5,0.7142857142857143,0.0,0.0,0.0,0.0
RBB TODAY,646,311,0.48142414860681115,132.0,100.0,1534440.0,82.0
REVISIO株式会社,2,3,1.5,0.0,0.0,0.0,0.0
RIZIN,1,1,1.0,0.0,0.0,0.0,0.0
RKB毎日放送,24,19,0.7916666666666666,1.0,2.0,10127.0,1.0
RKC高知放送,3,0,0.0,0.0,0.0,0.0,0.0
ROOMIE（ルーミー）,1,1,1.0,0.0,0.0,0.0,0.0
RUNNET,2,1,0.5,0.0,0.0,0.0,0.0
Rafu Shimpo,1,1,1.0,0.0,0.0,0.0,0.0
Re:minder,121,14,0.11570247933884298,14.0,21.0,107124.0,13.0
Real Sound｜リアルサウンド,1482,1444,0.9743589743589743,247.0,288.0,2471523.0,123.0
Record China,7,8,1.1428571428571428,2.0,4.0,13658.0,2.0
ResOU,1,0,0.0,0.0,0.0,0.0,0.0
Reuters,1,2,2.0,0.0,0.0,0.0,0.0
Rolling Stone Japan(ローリングストーン ジャパン）,36,1,0.027777777777777776,4.0,3.0,14957.0,3.0
SAPIENS TODAY｜サピエンストゥデイ,1,0,0.0,0.0,0.0,0.0,0.0
SASARU,4,3,0.75,0.0,0.0,0.0,0.0
SCRAMBLE（スクランブル）,1,1,1.0,0.0,0.0,0.0,0.0
SDGs fan,4,4,1.0,0.0,0.0,0.0,0.0
SNOOPY.co.jp,1,0,0.0,0.0,0.0,0.0,0.0
SODANE,73,92,1.2602739726027397,5.0,6.0,28011.0,5.0
SPAIA,2,2,1.0,0.0,0.0,0.0,0.0
SPICE（スパイス）,1418,1473,1.038787023977433,100.0,150.0,874143.0,78.0
SPUR（シュプール）,29,49,1.6896551724137931,1.0,-1.0,1929.0,1.0
STRAIGHT PRESS,14,16,1.1428571428571428,0.0,0.0,0.0,0.0
STUDY HACKER,1,2,2.0,0.0,0.0,0.0,0.0
SUUMO,9,6,0.6666666666666666,0.0,0.0,0.0,0.0
SYNCHRONOUS シンクロナス,1,-1,-1.0,1.0,-1.0,3887.0,1.0
SYNODOS,1,2,2.0,0.0,0.0,0.0,0.0
Saiga NAK,16,17,1.0625,1.0,0.0,1491.0,1.0
Sansan株式会社,1,0,0.0,0.0,0.0,0.0,0.0
Sensor Tower,1,-1,-1.0,0.0,0.0,0.0,0.0
Sirabee,718,124,0.17270194986072424,109.0,42.0,1268057.0,49.0
Sony,1,1,1.0,0.0,0.0,0.0,0.0
SoundZoo,4,4,1.0,0.0,0.0,0.0,0.0
South65,2,1,0.5,0.0,0.0,0.0,0.0
Spincoaster（スピンコースター）,46,28,0.6086956521739131,1.0,1.0,6336.0,1.0
Square Enix,1,0,0.0,0.0,0.0,0.0,0.0
Stereo Sound ONLINE,21,25,1.1904761904761905,1.0,1.0,8487.0,1.0
TABI LABO,2,2,1.0,0.0,0.0,0.0,0.0
TABIZINE,1,2,2.0,0.0,0.0,0.0,0.0
TBS NEWS DIG,217,189,0.8709677419354839,43.0,58.0,1801884.0,36.0
TBSラジオ,28,14,0.5,4.0,0.0,11728.0,4.0
TECTURE MAG,3,4,1.3333333333333333,0.0,0.0,0.0,0.0
THE ANSWER,106,167,1.5754716981132075,13.0,23.0,170121.0,9.0
THE DIGEST,55,73,1.3272727272727274,1.0,1.0,1268.0,1.0
THE FIRST TIMES,1031,1458,1.414161008729389,128.0,184.0,1437664.0,88.0
