name,人気度,知名度,DA,BR(順),BR(逆)
水谷豊,29.6,90.1,40671,0.003928850349,0.00177610611
溝端淳平,11.9,76.8,16402,4.95E-05,0.0001008533852
道枝駿佑,13.3,51.5,57602,0.001073306287,0.001203506224
光石研,11.2,53.6,10744,0.0001889035375,0.000115193769
満島真之介,16.1,73.5,23438,0.002567771687,0.0001030571734
峰竜太,5.1,81.8,7083,7.45E-06,9.32E-06
宮川大輔,31.2,95.2,64,6.08E-10,7.61E-10
三宅弘城,5.3,41.8,4587,1.19E-05,0.0004403080349
三宅裕司,13.5,84.6,3372,9.55E-06,3.32E-05
宮沢氷魚,10.1,46.9,14182,2.99E-05,3.74E-05
宮世琉弥,2.7,16.3,35055,0.00113448275,0.0009931318844
宮根誠司,5.5,89.6,8831,2.75E-05,5.00E-05
向井理,24.4,90.1,14714,0.0002789691642,0.0003884164978
向井康二,7.4,34.9,22346,0.000231727264,0.0002247334627
六平直政,9,62.1,3345,1.66E-06,2.08E-06
村上信五,25.1,87.4,6719,3.49E-05,7.05E-05
村上虹郎,8.3,41.8,13180,0.0001004579038,0.0002715049722
ムロツヨシ,46.7,92.9,57835,0.001351784766,0.003383558188
恵俊彰,9.9,86.7,9316,0.0001272642497,0.0001059893247
目黒蓮,24.6,65.3,49787,0.0005812272333,0.001369539008
望月歩,0.7,9.6,4175,2.59E-06,3.24E-06
本木雅弘,21.4,82.7,17507,0.00014748207,0.0003119228067
森崎ウィン,6,39.3,40914,0.0002677162164,0.0003786457832
森山未來,11.2,69.7,11690,0.0001028093599,8.22E-05
柳楽優弥,21.4,72.4,11551,0.0002649906178,0.0009737602424
