森泉,18.8,88.5
森絵梨佳,1.6,7.8
森七菜,11.3,56.6
森星,10.1,55.4
森尾由美,12.9,59.8
森川葵,8.1,26.2
森口瑤子,9.9,42.8
森田想,0.2,2.7
森田望智,1.8,6.5
森高千里,20.7,77.3
八木莉可子,4.1,14.5
薬師丸ひろ子,23.2,84.1
安めぐみ,11.5,73.3
安田成美,17.2,69.7
安田美沙子,8.8,65.3
矢田亜希子,16.3,73.8
箭内夢菜,2.8,5.7
柳ゆり菜,0.7,11.5
柳原可奈子,19.6,88.5
矢作穂香,1.4,6.9
山口紗弥加,9.9,44.2
山口智子,31.5,68.7
山口まゆ,1.8,9.4
山口もえ,14.5,85.7
山崎静代,18.6,86.5
山崎紘菜,3.5,17.5
山下美月,5.8,32.2
山田杏奈,3.5,13.8
山田真歩,2.5,15.2
山田優,9.4,75
山之内すず,6.9,67.6
山本千尋,1.4,7.6
山本舞香,11.5,47.3
山本美月,15.2,64.6
YOU_(タレント),26,86.7
優香,26.2,83.5
優木まおみ,7.4,63.9
古川優奈,8.7,62.7
