name,burst_count,sentiment_mean,news_count,pop_diff,aware_diff
上川隆也,8,0.8666666666666667,15,0.10000000000000142,-0.20000000000000284
上戸彩,8,0.9473684210526315,19,-2.700000000000003,1.3999999999999915
上田晋也,5,0.75,8,-2.099999999999998,-2.0
上白石萌歌,12,0.8947368421052632,57,-2.8000000000000007,-1.5
上白石萌音,10,0.926829268292683,41,-1.9000000000000021,-1.6000000000000085
上野樹里,12,0.84,50,-1.3000000000000007,-2.299999999999997
与田祐希,4,0.6296296296296297,27,-1.2999999999999998,4.200000000000001
中丸雄一,19,0.9,40,-0.8999999999999986,2.5
中井貴一,10,0.8913043478260869,46,1.8000000000000007,4.199999999999989
中尾明慶,6,0.7894736842105263,19,3.9000000000000004,5.1000000000000085
中居正広,11,0.6615384615384615,65,3.5,0.4000000000000057
中山秀征,15,0.9545454545454546,44,-1.299999999999999,1.1000000000000085
中山美穂,10,0.9545454545454546,44,-0.7000000000000011,1.8000000000000114
中島セナ,8,0.9545454545454546,22,-0.4,0.19999999999999973
中島健人,11,0.9583333333333334,24,0.6000000000000014,1.5999999999999943
中島裕翔,9,0.9555555555555556,45,0.5,2.0999999999999943
中川大志_(俳優),16,0.96,50,5.300000000000001,9.399999999999999
中川翔子,11,0.8636363636363636,44,-3.1999999999999993,0.09999999999999432
中村ゆり,12,0.8727272727272727,55,3.1000000000000005,6.399999999999999
中村ゆりか,4,1.0,3,-0.4999999999999999,1.5999999999999996
中村アン,4,0.9090909090909091,11,-0.10000000000000142,1.4000000000000057
中村俊介,13,1.0,13,-1.1000000000000005,-1.4000000000000057
中村倫也,5,0.8333333333333334,18,-2.3000000000000007,3.700000000000003
中村勘九郎_(6代目),7,1.0,14,-0.20000000000000018,1.7999999999999972
中村獅童_(2代目),9,0.975609756097561,41,0.6999999999999993,4.5
中村隼人,21,0.9318181818181818,88,-0.19999999999999996,5.700000000000001
中村雅俊,10,0.9,20,1.700000000000001,7.599999999999994
中村静香,8,0.8125,16,0.7999999999999998,3.8999999999999986
中条あやみ,13,0.96875,32,-2.299999999999997,4.099999999999994
中田圭祐,9,1.0,28,0.40000000000000013,-1.9000000000000004
中谷美紀,4,1.0,5,3.0,2.0
中越典子,9,0.9,10,2.2,-2.299999999999997
丸山桂里奈,18,0.94,50,-1.1999999999999993,-1.7999999999999972
丸山隆平,5,1.0,6,-1.3999999999999986,-5.300000000000004
久保田紗友,8,0.9166666666666666,12,0.09999999999999987,1.4000000000000004
久本雅美,8,0.9333333333333333,15,0.6999999999999993,-1.0999999999999943
久間田琳加,10,0.9583333333333334,24,0.40000000000000036,2.0999999999999996
乙葉,10,0.8461538461538461,13,0.7000000000000011,-2.0
亀梨和也,6,0.8888888888888888,9,-2.6999999999999993,-1.0
二宮和也,11,0.9565217391304348,23,-1.2999999999999972,1.0999999999999943
二階堂ふみ,2,1.0,4,-2.5,0.9000000000000057
井ノ原快彦,13,0.6896551724137931,29,-4.099999999999998,0.7999999999999972
井上咲楽,16,0.8974358974358975,39,2.3000000000000007,2.299999999999997
井上真央,9,0.9166666666666666,36,7.099999999999998,1.5999999999999943
井上祐貴,15,0.8148148148148148,27,-0.09999999999999998,-0.8000000000000003
井之脇海,17,0.9016393442622951,61,2.8000000000000003,8.299999999999997
井川遥,7,0.5555555555555556,9,0.9000000000000021,2.5
井手上漠,15,1.0,20,-0.40000000000000013,2.9000000000000004
井本彩花,15,1.0,16,-0.2,-0.19999999999999973
井桁弘恵,20,0.9615384615384616,52,0.2999999999999998,7.800000000000001
井森美幸,15,0.8571428571428571,21,2.3000000000000007,-0.7000000000000028
井浦新,6,0.8571428571428571,14,6.899999999999999,5.100000000000001
今井翼,4,1.0,1,-4.6,1.7999999999999972
今田耕司,12,0.9487179487179487,39,-3.1999999999999993,-0.6999999999999886
今野浩喜,6,1.0,3,-0.9000000000000004,2.200000000000003
仲村トオル,10,0.896551724137931,29,-1.3999999999999986,4.3999999999999915
仲里依紗,8,0.9459459459459459,37,-0.1999999999999993,1.4000000000000057
仲野太賀,5,0.9285714285714286,14,-0.1999999999999993,1.2000000000000028
仲間由紀恵,6,0.8888888888888888,9,-1.5999999999999979,1.2999999999999972
伊原六花,16,0.9428571428571428,35,-0.40000000000000036,4.100000000000001
伊原剛志,11,0.7692307692307693,13,4.300000000000001,1.5999999999999943
伊武雅刀,8,1.0,18,1.4000000000000004,3.6000000000000085
伊沢拓司,9,1.0,10,-2.700000000000001,2.799999999999997
伊藤あさひ,4,0.7142857142857143,7,-0.29999999999999993,2.5
伊藤歩,7,1.0,3,0.20000000000000018,-0.5
伊藤沙莉,9,0.9019607843137255,51,-1.1000000000000014,0.7000000000000028
伊藤淳史,6,1.0,6,1.6000000000000014,3.700000000000003
伊藤英明,12,0.8837209302325582,43,6.900000000000002,3.799999999999997
伊野尾慧,6,1.0,4,-2.0,-1.2000000000000028
伊集院光,13,0.9230769230769231,26,-3.8999999999999986,0.29999999999999716
佐々木希,10,0.9318181818181818,44,-2.6999999999999993,-1.8999999999999915
佐々木蔵之介,5,1.0,12,-0.20000000000000284,3.8999999999999915
佐久間由衣,9,1.0,29,-0.20000000000000018,9.200000000000003
佐藤二朗,5,0.9166666666666666,24,3.3000000000000007,0.5
佐藤健_(俳優),13,0.8421052631578947,38,2.0,6.200000000000003
佐藤勝利,11,0.96875,32,0.5,4.799999999999997
佐藤大樹_(ダンサー),6,1.0,22,-0.6000000000000001,-1.0999999999999996
佐藤寛太,4,1.0,4,-1.4,-2.0
佐藤栞里,15,1.0,25,3.700000000000003,3.5
佐藤浩市,7,0.6,5,0.0,1.8000000000000114
佐藤玲,11,0.9375,16,-0.19999999999999996,0.3999999999999999
佐藤隆太,4,1.0,7,2.3000000000000007,1.0999999999999943
佐野ひなこ,4,0.9333333333333333,15,-0.7000000000000002,0.3000000000000007
佐野勇斗,7,0.875,16,0.5,-3.1000000000000014
佐野史郎,12,0.9090909090909091,22,-0.5,4.3999999999999915
余貴美子,10,0.9333333333333333,15,-0.1999999999999993,-0.8999999999999986
倉科カナ,11,0.9722222222222222,36,-4.199999999999999,-0.10000000000000853
優木まおみ,23,0.9666666666666667,30,-2.0,-2.6000000000000014
