name,burst_count,burst_views_sum,news_count,all_news_count,pop_diff,aware_diff,202208人気度,202208知名度,202302人気度,202302知名度,burst_score_sum,all_score_sum,burst_pos_count,burst_neg_count,all_pos_count,all_neg_count,burst_nonzero_count,all_nonzero_count,pagerank,browserank,pub_score1,pub_score2,pub_score3
竹野内豊,3,22630,34,208.0,6.899999999999999,4.6000000000000085,31.0,84.1,37.9,88.7,35.0,136.0,28.0,3.0,118.0,39.0,31.0,157.0,4.6954573717205453e-08,0.0007684044905857165,14.227359936461259,400295.1693656108,43.351533408973864
笑福亭鶴瓶,6,24998,20,157.0,-4.5,-0.5,34.9,97.0,30.4,96.5,12.0,66.0,12.0,1.0,73.0,27.0,13.0,100.0,2.6263463976304366e-07,0.0014411849105289256,16.741950673942743,504197.1470061918,47.447108351685344
笛木優子,11,17562,3,12.0,-0.09999999999999964,0.5,6.5,43.0,6.4,43.5,0.0,7.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,4.044770801299379e-05,1.014065017233212,11521.613851144233,1.8231164571309857
笠松将,3,6090,5,69.0,-0.6999999999999997,-1.8999999999999986,3.4,29.2,2.7,27.3,11.0,125.0,5.0,0.0,58.0,3.0,5.0,61.0,0.0,5.174835969899249e-05,5.200020456452711,104194.06809651002,10.910398045849837
笹野高史,11,35883,14,59.0,-0.7000000000000028,1.9000000000000057,25.1,87.1,24.4,89.0,10.0,27.0,10.0,1.0,28.0,8.0,11.0,36.0,3.243325741106568e-08,8.399027180187914e-05,5.043248354616803,121722.7100542562,10.898145249645133
筧利夫,5,25932,7,58.0,4.6,2.1000000000000085,10.1,76.1,14.7,78.2,2.0,48.0,3.0,3.0,37.0,5.0,6.0,42.0,1.5818893088690578e-07,9.065263559898379e-05,4.5898103215398285,109503.71012912029,9.929406840542347
筧美和子,5,16644,8,65.0,-0.5,-0.30000000000000426,8.1,53.6,7.6,53.3,8.0,27.0,7.0,1.0,36.0,17.0,8.0,53.0,2.5865047682714275e-09,5.1633260603e-05,4.823234677924625,118621.51178862956,13.795505945731097
箭内夢菜,11,123851,14,115.0,0.2999999999999998,-0.2999999999999998,2.5,6.0,2.8,5.7,5.0,54.0,5.0,2.0,50.0,22.0,7.0,72.0,1.6784299901044883e-08,0.0002136391877591084,10.280167170242615,201910.122184746,18.38946410758504
篠原涼子,7,112773,62,129.0,1.8999999999999986,0.7000000000000028,21.6,90.1,23.5,90.8,92.0,132.0,49.0,7.0,88.0,25.0,56.0,113.0,1.3499320015963166e-08,0.00023098613735290376,11.548777650382931,268040.91296989477,26.20357753839232
米倉れいあ,5,1501,2,8.0,-0.20000000000000007,1.0999999999999996,0.9,3.0,0.7,4.1,3.0,9.0,1.0,0.0,5.0,1.0,1.0,6.0,0.0,7.4991680965880285e-06,0.44505063175802884,11511.811559106338,1.4280207263534963
米倉涼子,8,29042,37,178.0,-2.6000000000000014,-1.2999999999999972,35.9,95.8,33.3,94.5,-39.0,91.0,12.0,22.0,115.0,53.0,34.0,168.0,6.778317620915224e-09,0.0001067830187382541,15.16610543748133,423159.0244661988,38.47734199705738
紗栄子,12,71323,44,222.0,2.2,2.299999999999997,4.2,65.5,6.4,67.8,2.0,29.0,13.0,17.0,84.0,88.0,30.0,172.0,2.326187896317035e-08,0.00022865659174364713,19.745961281228027,471446.9025660081,47.66164421807155
細田佳央太,9,25213,38,246.0,1.4000000000000004,2.8999999999999986,2.8,17.3,4.2,20.2,27.0,117.0,16.0,6.0,90.0,41.0,22.0,131.0,5.217139540608319e-08,0.0003666866546405419,19.538856065558598,555067.9477247347,55.48082732210686
紺野まひる,8,47807,13,31.0,-0.6999999999999997,1.8000000000000007,2.8,26.0,2.1,27.8,0.0,5.0,2.0,2.0,8.0,5.0,4.0,13.0,6.896597863424268e-08,5.9770604767701086e-05,2.5330004148820655,52622.591695635114,5.193581410546592
紺野彩夏,15,37062,52,233.0,0.40000000000000013,0.40000000000000036,0.7,5.1,1.1,5.5,38.0,223.0,32.0,8.0,166.0,29.0,40.0,195.0,0.0,8.784914008551563e-06,17.70726681558951,329498.55206713395,39.06292982986174
紺野美沙子,10,31505,8,30.0,-0.39999999999999947,1.8000000000000043,7.1,53.8,6.7,55.6,3.0,-2.0,4.0,1.0,8.0,11.0,5.0,19.0,0.0,1.5287990484390341e-06,4.63641542480473,110021.59912764755,7.442124329701995
