高橋克典,21.6,82.8,23,87.4,19172,26697,85644,27462,30092,108216,48497
高橋克実,22.7,87.6,25.3,90.1,5934,10438,17626,4058,3598,10884,4148
高橋茂雄,21.9,91.7,25.3,92.4,27376,26874,12335,9804,65334,35970,29913
高橋英樹_(俳優),15.6,87.4,17.7,89.9,10336,12652,9841,8167,18526,16635,10080
高橋文哉,6,18.2,10.8,24.6,31611,39022,274654,223251,161663,168831,67078
高橋光臣,3.7,19.3,4.8,21.8,7869,5290,17108,5847,6802,7516,9001
滝藤賢一,19.5,74.2,23.2,82.8,13019,14597,10694,8913,15665,70014,14202
武井壮,17,91,13.1,91.9,20278,14717,10569,30549,14525,15457,8295
竹内涼真,23.4,82.3,24.1,88.7,91844,55914,40321,14384,14860,15971,13636
武田鉄矢,17.7,92.9,15.9,94.2,14000,19197,13249,13334,15232,17151,14063
竹中直人,29.9,86.4,28,89.2,14061,9417,7992,7910,6999,8887,7084
竹野内豊,31,84.1,37.9,88.7,23556,20620,23680,20745,23932,81911,20811
舘ひろし,26,87.3,23,89.4,34065,15355,14399,13304,13483,11683,11029
田中圭,25.1,85.1,24.1,89,78474,53232,24610,26705,15479,35491,48722
田中卓志,26,94.3,23.7,95.2,19194,77139,21529,15232,15156,78872,22183
田中直樹_(お笑い芸人),18.8,92,19.6,92.9,10701,5970,4854,5070,4822,12432,13470
田中将大,24.2,88.5,18.4,88.5,105073,84583,57981,39169,24678,58833,38079
田中裕二,16.8,92,15,93.6,318,348,612,259,15012,2352,694
田中要次,11.7,80.2,14.2,85.8,9335,6985,4583,5265,3596,7122,2324
田辺誠一,11.5,69.2,10.8,72.6,7194,6229,4487,6569,40690,6886,4613
谷原章介,13.6,79.6,15.2,84.2,22239,28548,29627,31744,11775,55370,20752
玉木宏,28.3,87.4,32,90.3,27802,31165,20604,16849,21669,31394,16712
玉森裕太,11,67.8,15.6,75.6,75441,42478,37725,20561,22802,24476,18325
玉山鉄二,11.5,65.5,11,67.6,8408,7752,11698,7520,6803,9485,8012
田村淳,19.5,92.6,17.5,93.5,28843,23103,14135,11412,18966,21882,16574
タモリ,42.7,96.6,40,96.6,27241,35043,54830,36378,46020,40773,52891
知念侑李,9,64.8,8.1,65.5,16183,7819,7336,8758,8682,11486,5738
千葉雄大,18.6,73.5,15.8,75.2,20488,22637,20847,11690,10885,76123,33916
千原ジュニア,18.9,93.8,17.9,93.8,14804,17603,13179,12111,14461,26220,13023
塚地武雅,15,88,21.1,90.8,12305,6008,8617,6302,13375,17453,18151
塚本高史,8.1,64.1,7.6,66.2,11727,15265,11442,7004,41165,20438,11239
津田寛治,6.7,53.8,7.1,55.4,11065,14878,10640,9168,6114,14525,5858
津田健次郎,9,24.2,11.9,35.2,119063,245091,73382,67729,90302,115944,104262
土田晃之,17.2,89.9,14.7,90.4,9919,5298,5011,7266,10511,5843,11880
堤真一,37,90.1,37.3,91,10970,41409,25517,16445,11687,10130,8030
妻夫木聡,29,87.1,33.8,90.1,12251,26990,13203,125870,26575,90838,30387
つるの剛士,9.9,89.9,10.8,91,17858,14961,6777,6756,7643,9278,11478
ディーン・フジオカ,20.5,86.2,22.1,86.9,23793,34665,25857,19277,22399,32656,39883
出川哲朗,39.8,97.2,43,97.7,20869,19414,19992,13636,21107,32796,19133
寺島進,20.2,82.1,20.9,84.1,6108,7323,8199,5541,6150,12277,25843
寺田心,12.7,87.4,12.9,85.7,45781,94282,19955,27902,50815,26882,23001
寺脇康文,17.3,76.6,19.6,80.7,19437,11857,74614,12605,15592,13277,11948
でんでん,6.9,58.2,8.3,63.7,9293,6338,9738,8888,8852,6318,5570
堂本光一,21.9,88.5,21.4,89.7,16585,10037,8396,15557,27060,22555,19464
堂本剛,22.7,88.5,22.1,89,28062,31394,17519,26170,48425,35150,17979
所ジョージ,47.6,98.1,41.4,96.6,20275,14923,23643,15654,17345,26339,22976
トータス松本,14.9,72.9,14.2,77.3,6600,3590,3694,12529,3313,3043,2336
戸塚純貴,3.9,19.6,2.3,19.6,20074,16751,13712,8114,6843,19870,11050
戸次重幸,12,51.5,10.3,51,28108,18282,16769,7312,9089,18723,12004
豊川悦司,18.4,77.5,19.5,81.8,11075,9046,25562,29705,11654,21065,116060
内藤剛志,20.7,83.4,19.3,85.5,20488,10499,15645,9686,8970,14439,9849
中井貴一,25.3,83.4,27.1,87.6,18622,14257,34840,34185,55250,18908,23445
中居正広,29.4,96.8,32.9,97.2,26270,20289,34118,123696,104566,85412,24184
中尾明慶,12.6,75.6,16.5,80.7,18929,20740,39147,15057,16925,36367,21697
中川大志_(俳優),15.8,61.9,21.1,71.3,94076,148747,244178,50882,70087,55664,24924
長嶋一茂,15.2,92.2,14.9,94.2,35090,48676,26847,45759,30922,27260,41525
中島健人,18.2,75.2,18.8,76.8,29321,23225,32193,26671,34932,33606,21442
中島裕翔,12.6,55.2,13.1,57.3,55041,37038,15018,14560,14593,34234,38468
永瀬正敏,5.8,60.9,6.7,62.7,18595,18937,8126,4546,4707,5784,5745
永瀬廉,11.9,54.7,17.9,66.4,46109,46628,33895,113575,45155,137266,70065
中田圭祐,0.7,8.8,1.1,6.9,13106,8658,1938,2874,1591,4663,4976
仲野太賀,20.2,51.9,20,53.1,58570,77619,48263,51811,27687,18315,17840
中丸雄一,23.9,81.9,23,84.4,56779,22888,24669,16415,16864,18690,14034
中村勘九郎_(6代目),8,78.4,7.8,80.2,5129,6337,3959,5584,13202,6403,8174
中村獅童_(2代目),9.4,85.1,10.1,89.6,32835,26927,8358,6991,9618,11197,32427
中村俊介,6.9,66.5,5.8,65.1,3449,3213,8257,5859,7421,6267,5952
仲村トオル,24.4,80.7,23,85.1,12940,18750,12469,7571,10539,20420,12570
中村倫也,28.3,77.2,26,80.9,93656,75168,67291,37320,37781,33589,26313
