name,人気度変化,知名度変化,スコア,ニュース数,positive数,negative数,202208人気度,202208知名度,202302人気度,202302知名度
設楽統,1.2000000000000028,1.0999999999999943,0,111,0,0,34,92.2,35.2,93.3
清水尋也,0.0,0.40000000000000213,0,95,0,0,1.4,18.9,1.4,19.3
春風亭昇太,4.400000000000002,2.299999999999997,0,71,0,0,11.7,86.2,16.1,88.5
城島茂,-3.0,1.6000000000000085,0,128,0,0,28.1,92.6,25.1,94.2
笑福亭鶴瓶,-4.5,-0.5,0,210,0,0,34.9,97,30.4,96.5
白濱亜嵐,-2.4000000000000004,-1.8999999999999986,0,210,0,0,8.8,53.8,6.4,51.9
城田優,0.5999999999999996,3.200000000000003,0,130,0,0,12,80.7,12.6,83.9
神宮寺勇太,-0.7999999999999998,7.600000000000001,0,183,0,0,8.1,39.1,7.3,46.7
陣内孝則,-2.700000000000001,2.299999999999997,0,58,0,0,18.6,83.7,15.9,86
陣内智則,-1.8999999999999986,0.6999999999999886,0,139,0,0,21.2,92.9,19.3,93.6
須賀健太,-1.4000000000000004,4.100000000000001,0,85,0,0,6.9,46.9,5.5,51
杉浦太陽,-1.2000000000000002,4.0,0,189,0,0,7.4,76.5,6.2,80.5
杉野遥亮,2.8999999999999986,2.299999999999997,0,210,0,0,11.3,40.7,14.2,43
杉本哲太,0.1999999999999993,6.0,0,63,0,0,13.3,76.8,13.5,82.8
鈴鹿央士,6.9,13.899999999999999,0,201,0,0,4.6,33.5,11.5,47.4
鈴木浩介,2.0,6.5,0,73,0,0,9.7,59.5,11.7,66
鈴木仁,0.09999999999999987,0.0,0,182,0,0,1.8,8.8,1.9,8.8
鈴木伸之,-0.1999999999999993,4.700000000000003,0,169,0,0,11.2,35.8,11,40.5
鈴木福,2.5,0.5,0,196,0,0,21.4,88.3,23.9,88.8
鈴木亮平,5.300000000000004,4.200000000000003,0,210,0,0,34.3,85,39.6,89.2
菅田将暉,3.3000000000000043,0.5,0,210,0,0,33.3,92.2,36.6,92.7
駿河太郎,0.0,2.8999999999999986,0,53,0,0,6.5,48.1,6.5,51
関口メンディー,-1.1999999999999993,-3.0,0,140,0,0,17.5,84.6,16.3,81.6
関根勤,-3.6000000000000014,-0.5,0,122,0,0,28,93.1,24.4,92.6
瀬戸康史,1.0,3.8999999999999986,0,190,0,0,14.2,62.1,15.2,66
染谷将太,0.5999999999999996,6.900000000000006,0,119,0,0,6.7,54.3,7.3,61.2
反町隆史,-1.1999999999999993,1.7999999999999972,0,116,0,0,29.2,87.8,28,89.6
DAIGO,-4.0,-0.5999999999999943,0,210,0,0,33.6,95.6,29.6,95
醍醐虎汰朗,-0.09999999999999998,3.1999999999999997,0,101,0,0,0.5,3.9,0.4,7.1
髙嶋政宏,0.5,3.0,0,59,0,0,7.3,78.4,7.8,81.4
高杉真宙,3.3999999999999986,10.200000000000003,0,208,0,0,8.3,35.8,11.7,46
高田純次,1.3999999999999986,3.0,0,70,0,0,32.6,87.4,34,90.4
高橋一生,-1.7000000000000028,1.9000000000000057,0,175,0,0,28.1,87.3,26.4,89.2
髙橋海人,4.200000000000001,8.700000000000003,0,199,0,0,11.2,49.9,15.4,58.6
高橋克典,1.3999999999999986,4.6000000000000085,0,152,0,0,21.6,82.8,23,87.4
高橋克実,2.6000000000000014,2.5,0,81,0,0,22.7,87.6,25.3,90.1
