name,人気度変化,知名度変化,スコア,ニュース数,positive数,negative数,202208人気度,202208知名度,202302人気度,202302知名度
田中律子,-0.3000000000000007,-1.0999999999999943,72,76,74,2,11.3,67.8,11,66.7
田中麗奈,1.0999999999999996,-3.1000000000000014,66,82,74,8,8.3,66.5,9.4,63.4
田辺桃子,0.7999999999999998,1.5999999999999996,65,75,70,5,1.1,6.2,1.9,7.8
田鍋梨々花,0.19999999999999996,2.3,46,54,50,4,0.5,2.5,0.7,4.8
谷まりあ,2.3000000000000007,6.700000000000003,184,196,190,6,7.1,36.5,9.4,43.2
多部未華子,-4.800000000000004,-3.5999999999999943,158,210,184,26,34.7,81.8,29.9,78.2
玉城ティナ,0.9000000000000004,2.8999999999999986,132,156,144,12,4.6,44.4,5.5,47.3
ダレノガレ明美,1.3999999999999995,1.2999999999999972,99,141,120,21,6.7,83.5,8.1,84.8
檀れい,1.3999999999999986,-0.5,77,87,82,5,16.8,73.8,18.2,73.3
壇蜜,-1.6999999999999993,0.5,152,188,170,18,21.2,89.4,19.5,89.9
千秋,2.8999999999999986,1.3999999999999915,172,210,191,19,8.8,88.7,11.7,90.1
知花くらら,0.3999999999999999,-3.6000000000000014,37,51,44,7,3.5,44.1,3.9,40.5
土村芳,-0.19999999999999996,-2.1000000000000005,27,31,29,2,1.8,9.9,1.6,7.8
土屋アンナ,-0.6999999999999993,-1.2000000000000028,93,103,98,5,15.6,89.2,14.9,88
土屋太鳳,-4.399999999999999,-1.3999999999999915,144,180,162,18,26,90.1,21.6,88.7
恒松祐里,2.6999999999999997,2.200000000000001,67,73,70,3,2.1,12.7,4.8,14.9
椿鬼奴,1.1000000000000014,-1.7999999999999972,50,66,58,8,21.2,85,22.3,83.2
鶴田真由,0.0,-0.3999999999999986,23,31,27,4,11.7,57,11.7,56.6
出口夏希,-0.40000000000000013,-0.9000000000000004,104,114,109,5,1.1,3.7,0.7,2.8
寺島しのぶ,5.200000000000001,1.4000000000000057,111,145,128,17,8.1,71.5,13.3,72.9
當真あみ,0.9,8.0,133,149,141,8,0.9,2.1,1.8,10.1
常盤貴子,1.7000000000000028,0.8999999999999915,81,93,87,6,20.4,75.4,22.1,76.3
徳永えり,-0.8999999999999999,-2.6999999999999993,56,72,64,8,2.8,17.9,1.9,15.2
戸田恵梨香,-2.200000000000003,-0.5999999999999943,114,168,141,27,37.2,88,35,87.4
戸田恵子,1.6999999999999993,-0.8999999999999915,122,160,141,19,24.1,78.1,25.8,77.2
戸田菜穂,0.1999999999999993,1.7999999999999972,83,93,88,5,9,47.6,9.2,49.4
富田望生,-0.09999999999999964,-0.6999999999999957,57,63,60,3,10.4,38.4,10.3,37.7
富田靖子,-1.5999999999999996,-2.5,63,73,68,5,9.9,57.5,8.3,55
ともさかりえ,1.4000000000000004,1.0999999999999943,79,95,87,8,8,75.4,9.4,76.5
友近,4.400000000000002,0.3999999999999915,75,103,89,14,23.9,92.9,28.3,93.3
豊嶋花,-0.09999999999999998,0.7000000000000002,74,94,84,10,0.5,4.6,0.4,5.3
トラウデン直美,0.5,-0.30000000000000426,66,76,71,5,4.6,39.6,5.1,39.3
トリンドル玲奈,-0.7000000000000011,-1.0,157,185,171,14,13.8,78.9,13.1,77.9
